folder	file	raw_num	translit_key	match_method	boehtlingk_num	saying_id	iast_head	confidence	size_bytes	duration_sec_approx
Subhashitas-Systematic (1)	60 Субхашита Самрохатьягнина (Samrohatyagnina) संरोहत्यग्निना.mp3	60	samrohatyagnina	prefix-first-word	4172	Saying 4172	pūrvajanmakṛtaṃ karma taddaivamiti kathyate	medium	323951	20.2
Subhashitas-Systematic (1)	61 Субхашита Ахо дурджанасамсаргат (Aho durjanasamsargat) अहो दुर्जनसंसर्गात्.mp3	61	ahodurjanasamsargat	prefix-first-word-ambiguous(2)				low	312248	19.5
Subhashitas-Systematic (1)	62 Субхашита Мата митрам (Mata mitram) माता मित्रं.mp3	62	matamitram	prefix-first-word-ambiguous(2)				low	303889	19.0
Subhashitas-Systematic (1)	63 Субхашита Вивэках (Vivekaḥ) विवेकः.mp3	63	vivekah	exact-first-word	6190	Saying 6190	vivekaḥ kiṃ so 'pi svarasajanitā yatra na kṛpā	high	309740	19.3
Subhashitas-Systematic (1)	64 Субхашита Шаддошах (Shaddoshaḥ) षड्दोषाः.mp3	64	shaddoshah	none				unmatched	334818	20.9
Subhashitas-Systematic (1)	65 Субхашита Видья дадати (Vidya dadati) विद्या ददाति.mp3	65	vidyadadati	prefix-first-word	6190	Saying 6190	vivekaḥ kiṃ so 'pi svarasajanitā yatra na kṛpā	medium	321443	20.1
Subhashitas-Systematic (1)	66 Субхашита На вишьвасэт (Na vishvaset) न विश्वसेत्.mp3	66	navishvaset	prefix-first-word	6190	Saying 6190	vivekaḥ kiṃ so 'pi svarasajanitā yatra na kṛpā	medium	303053	18.9
Subhashitas-Systematic (1)	67 Субхашита Шатхьена (Shathyena) शाठ्येन.mp3	67	shathyena	none				unmatched	373270	23.3
Subhashitas-Systematic (1)	68 Субхашита Сантошах (Santoshaḥ) सन्तोषः.mp3	68	santoshah	prefix-first-word-ambiguous(2)				low	316428	19.7
Subhashitas-Systematic (1)	69 Субхашита Кулам (Kulam) कुलं.mp3	69	kulam	exact-first-word-ambiguous(4)				low	315174	19.7
Subhashitas-Systematic (1)	70 Субхашита Абхьясаддхарьятэ (Abhyasaddharyate) अभ्यासाद्धार्यते.mp3	70	abhyasaddharyate	exact-first-word	513	Saying 513	abhyāsāddhāryate vidyā kulaṃ śīlena dhāryate	high	322697	20.1
Subhashitas-Systematic (1)	71 Субхашита Лобхамулани (Lobhamulani) लोभमूलानि.mp3	71	lobhamulani	none				unmatched	284245	17.7
Subhashitas-Systematic (1)	72 Субхашита Экаварнам (Ekavarnam) एकवर्णं.mp3	72	ekavarnam	exact-first-word	1375	Saying 1375	ekavarṇaṃ yathā dugdhaṃ bahuvarṇāsu dhenuṣu	high	306397	19.1
Subhashitas-Systematic (1)	73 Субхашита Те путра (Te putra) ते पुत्रा.mp3	73	teputra	prefix-first-word	1375	Saying 1375	ekavarṇaṃ yathā dugdhaṃ bahuvarṇāsu dhenuṣu	medium	308486	19.3
Subhashitas-Systematic (1)	74 Субхашита Манаса (Manasa) मनसा.mp3	74	manasa	exact-first-word-ambiguous(3)				low	316846	19.8
Subhashitas-Systematic (1)	75 Субхашита Альпакарьякарах (Alpakaryakaraḥ) अल्पकार्यकराः.mp3	75	alpakaryakarah	prefix-first-word	1375	Saying 1375	ekavarṇaṃ yathā dugdhaṃ bahuvarṇāsu dhenuṣu	medium	308486	19.3
Subhashitas-Systematic (1)	76 Субхашита Ях патхати (Yaḥ pathati) यः पठति.mp3	76	yahpathati	prefix-first-word-ambiguous(2)				low	269616	16.8
Subhashitas-Systematic (1)	77 Субхашита Читтэ прасаннэ (Citte prasanne) चित्ते प्रसन्ने.mp3	77	citteprasanne	none				unmatched	316010	19.7
Subhashitas-Systematic (1)	78 Субхашита Кродхо (Krodho) क्रोधो.mp3	78	krodho	exact-first-word-ambiguous(5)				low	319353	19.9
Subhashitas-Systematic (1)	79 Субхашита Висрджья (Visrjya) विसृज्य.mp3	79	visrjya	exact-first-word	6235	Saying 6235	visṛjya śūryavaddoṣānguṇāngṛhṇanti sādhavaḥ	high	328131	20.5
Subhashitas-Systematic (1)	80 Субхашита Дурджано (Durjano) दुर्जनो.mp3	80	durjano	exact-first-word-ambiguous(2)				low	307651	19.2
Subhashitas-Systematic (1)	81 Субхашита Паропадэшэ (Paropadeshe) परोपदेशे.mp3	81	paropadeshe	prefix-first-word	6235	Saying 6235	visṛjya śūryavaddoṣānguṇāngṛhṇanti sādhavaḥ	medium	302217	18.9
Subhashitas-Systematic (1)	82 Субхашита Джнятибхирвантьятэ (Jnatibhirvantyate) ज्ञातिभिर्वण्ट्यते.mp3	82	jnatibhirvantyate	none				unmatched	336490	21.0
Subhashitas-Systematic (1)	83 Субхашита Дханадханьяпрайогэшу (Dhanadhanyaprayogeshu) धनधान्यप्रयोगेषु.mp3	83	dhanadhanyaprayogeshu	none				unmatched	306397	19.1
Subhashitas-Systematic (1)	84 Субхашита Анабхьясэ (Anabhyase) अनभ्यासे.mp3	84	anabhyase	prefix-first-word-ambiguous(2)				low	316428	19.7
Subhashitas-Systematic (1)	85 Субхашита Видванэва (Vidvaneva) विद्वानेव.mp3	85	vidvaneva	exact-first-word	6114	Saying 6114	vidvāneva vijānāti vidvajjanapariśramam	high	319771	20.0
Subhashitas-Systematic (1)	86 Субхашита Парайх (Paraiḥ) परैः.mp3	86	paraih	exact-first-word	3977	Saying 3977	paraiḥ saṃbhujyate rājyaṃ svayaṃ pāpasya bhājanam	high	322697	20.1
Subhashitas-Systematic (1)	87 Субхашита Авидьянашини (Avidyanashini) अविद्यानाशिनी.mp3	87	avidyanashini	prefix-first-word	3977	Saying 3977	paraiḥ saṃbhujyate rājyaṃ svayaṃ pāpasya bhājanam	medium	312248	19.5
Subhashitas-Systematic (1)	88 Субхашита Апурвах (Apurvaḥ) अपूर्वः.mp3	88	apurvah	exact-first-word	448	Saying 448	apūrvaḥ ko 'pi kopāgniḥ sajjanasya khalasya ca	high	304307	19.0
Subhashitas-Systematic (1)	89 (91) Субхашита Гунэшу (Guneshu) गुणेषु.mp3	89	guneshu	none				unmatched	294694	18.4
Subhashitas-Systematic (1)	90 Субхашита Чала (Chala) चला.mp3	90	chala	none				unmatched	303053	18.9
Subhashitas-Systematic (1)	91 (89) Субхашита Ахо пракртисадршьям (Aho prakrtisadrshyam) अहो प्रकृतिसादृश्यं.mp3	91	ahoprakrtisadrshyam	prefix-first-word-ambiguous(2)				low	270034	16.9
Subhashitas-Systematic (1)	92 Субхашита Мрга мргайх (Mrga mrgaiḥ) मृगा मृगैः.mp3	92	mrgamrgaih	prefix-first-word	448	Saying 448	apūrvaḥ ko 'pi kopāgniḥ sajjanasya khalasya ca	medium	364911	22.8
Subhashitas-Systematic (1)	93 Субхашита Шастраньядхитьяпи (Shastranyadhityapi) शास्त्राण्यधीत्यापि.mp3	93	shastranyadhityapi	none				unmatched	359477	22.4
Subhashitas-Systematic (1)	94 (95) Субхашита Ятха (Yatha) यथा.mp3	94	yatha	exact-first-word-ambiguous(58)				low	300545	18.8
Subhashitas-Systematic (1)	95 (94) Субхашита Вишасья (Vishasya) विषस्य.mp3	95	vishasya	none				unmatched	281319	17.6
